Article,Page count,,,,,Article IDs from already invoiced,Invoiced month
,,#N/A,,,,neurintsurg-2017-013432,Invoiced in Oct 2017
,,#N/A,,,,neurintsurg-2017-013441,Invoiced in Oct 2017
,,#N/A,,,,neurintsurg-2017-013466,Invoiced in Oct 2017
,,#N/A,,,,neurintsurg-2017-013519,Invoiced in Oct 2017
,,#N/A,,,,neurintsurg-2017-013591,Invoiced in Oct 2017
,,#N/A,,,,oemed-2016-104280,Invoiced in Oct 2017
,,#N/A,,,,oemed-2017-104341,Invoiced in Oct 2017
,,#N/A,,,,oemed-2017-104349,Invoiced in Oct 2017
,,#N/A,,,,oemed-2017-104382,Invoiced in Oct 2017
,,#N/A,,,,oemed-2017-104391,Invoiced in Oct 2017
,,#N/A,,,,oemed-2017-104404,Invoiced in Oct 2017
,,#N/A,,,,oemed-2017-104430,Invoiced in Oct 2017
,,#N/A,,,,oemed-2017-104452,Invoiced in Oct 2017
,,#N/A,,,,oemed-2017-104519,Invoiced in Oct 2017
,,#N/A,,,,oemed-2017-104532,Invoiced in Oct 2017
,,#N/A,,,,oemed-2017-104575,Invoiced in Oct 2017
,,#N/A,,,,oemed-2017-104580,Invoiced in Oct 2017
,,#N/A,,,,oemed-2017-104609,Invoiced in Oct 2017
,,#N/A,,,,oemed-2017-104640,Invoiced in Oct 2017
,,#N/A,,,,oemed-2017-104656,Invoiced in Oct 2017
,,#N/A,,,,oemed-2017-104660,Invoiced in Oct 2017
,,#N/A,,,,oemed-2017-104758,Invoiced in Oct 2017
,,#N/A,,,,oemed-2017-104802,Invoiced in Oct 2017
,,#N/A,,,,openhrt-2017-000631,Invoiced in Oct 2017
,,#N/A,,,,openhrt-2017-000636,Invoiced in Oct 2017
,,#N/A,,,,openhrt-2017-000651,Invoiced in Oct 2017
,,#N/A,,,,openhrt-2017-000658,Invoiced in Oct 2017
,,#N/A,,,,openhrt-2017-000669,Invoiced in Oct 2017
,,#N/A,,,,openhrt-2017-000680,Invoiced in Oct 2017
,,#N/A,,,,openhrt-2017-000683,Invoiced in Oct 2017
,,#N/A,,,,openhrt-2017-000684,Invoiced in Oct 2017
,,#N/A,,,,openhrt-2017-000686,Invoiced in Oct 2017
,,#N/A,,,,postgradmedj-2017-135002,Invoiced in Oct 2017
,,#N/A,,,,postgradmedj-2017-135104,Invoiced in Oct 2017
,,#N/A,,,,postgradmedj-2017-135122,Invoiced in Oct 2017
,,#N/A,,,,postgradmedj-2017-135199,Invoiced in Oct 2017
,,#N/A,,,,postgradmedj-2017-135212,Invoiced in Oct 2017
,,#N/A,,,,postgradmedj-2017-135217,Invoiced in Oct 2017
,,#N/A,,,,postgradmedj-2017-135303,Invoiced in Oct 2017
,,#N/A,,,,postgradmedj-2017-135327,Invoiced in Oct 2017
,,#N/A,,,,postgradmedj-2017-135328,Invoiced in Oct 2017
,,#N/A,,,,postgradmedj-2017-135331,Invoiced in Oct 2017
,,#N/A,,,,postgradmedj-2017-135368,Invoiced in Oct 2017
,,#N/A,,,,practneurol-2017-001802,Invoiced in Oct 2017
,,#N/A,,,,practneurol-2017-001816,Invoiced in Oct 2017
,,#N/A,,,,rmdopen-2017-000471,Invoiced in Oct 2017
,,#N/A,,,,rmdopen-2017-000498,Invoiced in Oct 2017
,,#N/A,,,,rmdopen-2017-000502,Invoiced in Oct 2017
,,#N/A,,,,rmdopen-2017-000508,Invoiced in Oct 2017
,,#N/A,,,,rmdopen-2017-000524,Invoiced in Oct 2017
,,#N/A,,,,rmdopen-2017-000546,Invoiced in Oct 2017
,,#N/A,,,,rmdopen-2017-000551,Invoiced in Oct 2017
,,#N/A,,,,sextrans-2017-053109,Invoiced in Oct 2017
,,#N/A,,,,sextrans-2017-053153,Invoiced in Oct 2017
,,#N/A,,,,sextrans-2017-053195,Invoiced in Oct 2017
,,#N/A,,,,sextrans-2017-053198,Invoiced in Oct 2017
,,#N/A,,,,sextrans-2017-053215,Invoiced in Oct 2017
,,#N/A,,,,sextrans-2017-053227,Invoiced in Oct 2017
,,#N/A,,,,sextrans-2017-053247,Invoiced in Oct 2017
,,#N/A,,,,sextrans-2017-053265,Invoiced in Oct 2017
,,#N/A,,,,sextrans-2017-053274,Invoiced in Oct 2017
,,#N/A,,,,sextrans-2017-053284,Invoiced in Oct 2017
,,#N/A,,,,sextrans-2017-053303,Invoiced in Oct 2017
,,#N/A,,,,sextrans-2017-053306,Invoiced in Oct 2017
,,#N/A,,,,sextrans-2017-053312,Invoiced in Oct 2017
,,#N/A,,,,sextrans-2017-053340,Invoiced in Oct 2017
,,#N/A,,,,sextrans-2017-053355,Invoiced in Oct 2017
,,#N/A,,,,sextrans-2017-053404,Invoiced in Oct 2017
,,#N/A,,,,sextrans-2017-053427,Invoiced in Oct 2017
,,#N/A,,,,sextrans-2017-053429,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2016-209699,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2016-209701,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210010,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210017,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210140,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210169,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210177,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210309,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210362,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210418,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210440,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210508,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210519,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210598,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210634,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210650,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210674,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210770,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210775,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210842,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210872,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210917,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210927,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-210929,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-211032,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-211056,Invoiced in Oct 2017
,,#N/A,,,,thoraxjnl-2017-211217,Invoiced in Oct 2017
,,#N/A,,,,tobaccocontrol-2017-053762,Invoiced in Oct 2017
,,#N/A,,,,tobaccocontrol-2017-053791,Invoiced in Oct 2017
,,#N/A,,,,tobaccocontrol-2017-053795,Invoiced in Oct 2017
,,#N/A,,,,tobaccocontrol-2017-053801,Invoiced in Oct 2017
,,#N/A,,,,tobaccocontrol-2017-053857,Invoiced in Oct 2017
,,#N/A,,,,tobaccocontrol-2017-053881,Invoiced in Oct 2017
,,#N/A,,,,tobaccocontrol-2017-053891,Invoiced in Oct 2017
,,#N/A,,,,tobaccocontrol-2017-053912,Invoiced in Oct 2017
,,#N/A,,,,tobaccocontrol-2017-053961,Invoiced in Oct 2017
,,#N/A,,,,tobaccocontrol-2017-053962,Invoiced in Oct 2017
,,#N/A,,,,tobaccocontrol-2017-054080,Invoiced in Oct 2017
,,#N/A,,,,tobaccocontrol-2017-054087,Invoiced in Oct 2017
,,#N/A,,,,tsaco-2017-000107,Invoiced in Oct 2017
,,#N/A,,,,tsaco-2017-000122,Invoiced in Oct 2017
,,#N/A,,,,vetrec-2016-103959,Invoiced in Oct 2017
,,#N/A,,,,vetrec-2016-103988,Invoiced in Oct 2017
,,#N/A,,,,vetrec-2016-103996,Invoiced in Oct 2017
,,#N/A,,,,vetrec-2016-104175,Invoiced in Oct 2017
,,#N/A,,,,vetrec-2016-104201,Invoiced in Oct 2017
,,#N/A,,,,vetrec-2016-104226,Invoiced in Oct 2017
,,#N/A,,,,vetrec-2017-104294,Invoiced in Oct 2017
,,#N/A,,,,vetrec-2017-104296,Invoiced in Oct 2017
,,#N/A,,,,vetrec-2017-104353,Invoiced in Oct 2017
,,#N/A,,,,vetrec-2017-104359,Invoiced in Oct 2017
,,#N/A,,,,vetrec-2017-104375,Invoiced in Oct 2017
,,#N/A,,,,vetrec-2017-104385,Invoiced in Oct 2017
,,#N/A,,,,vetrec-2017-104435,Invoiced in Oct 2017
,,#N/A,,,,vetrec-2017-104450,Invoiced in Oct 2017
,,#N/A,,,,vetrec-2017-104472,Invoiced in Oct 2017
,,#N/A,,,,vetrec-2017-104496,Invoiced in Oct 2017
,,#N/A,,,,vetrec-2017-104501,Invoiced in Oct 2017
,,#N/A,,,,vetrec-2017-104528,Invoiced in Oct 2017
,,#N/A,,,,vetrec-2017-104626,Invoiced in Oct 2017
,,#N/A,,,,vetreccr-2017-000429,Invoiced in Oct 2017
,,#N/A,,,,vetreccr-2017-000443,Invoiced in Oct 2017
,,#N/A,,,,vetreccr-2017-000444,Invoiced in Oct 2017
,,#N/A,,,,vetreccr-2017-000454,Invoiced in Oct 2017
,,#N/A,,,,vetreccr-2017-000457,Invoiced in Oct 2017
,,#N/A,,,,vetreccr-2017-000468,Invoiced in Oct 2017
,,#N/A,,,,vetreccr-2017-000473,Invoiced in Oct 2017
,,#N/A,,,,vetreccr-2017-000496,Invoiced in Oct 2017
,,#N/A,,,,vetreccr-2017-000508,Invoiced in Oct 2017
,,#N/A,,,,vetreccr-2017-000516,Invoiced in Oct 2017
,,#N/A,,,,vetreccr-2017-000517,Invoiced in Oct 2017
,,#N/A,,,,vetreccr-2017-000527,Invoiced in Oct 2017
,,#N/A,,,,vetreccr-2017-000537,Invoiced in Oct 2017
,,#N/A,,,,vetreco-2016-000212,Invoiced in Oct 2017
,,#N/A,,,,acupmed-2016-011167,Invoiced in Nov 2017
,,#N/A,,,,acupmed-2016-011212,Invoiced in Nov 2017
,,#N/A,,,,acupmed-2016-011258,Invoiced in Nov 2017
,,#N/A,,,,acupmed-2016-011289,Invoiced in Nov 2017
,,#N/A,,,,acupmed-2016-011306,Invoiced in Nov 2017
,,#N/A,,,,acupmed-2016-011335,Invoiced in Nov 2017
,,#N/A,,,,acupmed-2016-011342,Invoiced in Nov 2017
,,#N/A,,,,acupmed-2016-011354,Invoiced in Nov 2017
,,#N/A,,,,acupmed-2016-011355,Invoiced in Nov 2017
,,#N/A,,,,acupmed-2017-011583,Invoiced in Nov 2017
,,#N/A,,,,acupmed-2017-011589,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2011-201270corr1,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-211574,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-211625,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-211641,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-211649,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-211796,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-211878,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-211989,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-211996,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212000,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212046,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212063,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212104,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212257,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212328,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212339,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212378,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212392,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212423,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212460,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212469,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212520,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212553,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212557,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212568,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212569,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212570,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212579,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212581,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212582,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212583,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212600,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212602,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212604,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212623,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212638,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212660,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212661,Invoiced in Nov 2017
,,#N/A,,,,annrheumdis-2017-212701,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2016-311018,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2016-311188,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2016-311477,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2016-311707,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-312731,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-312981,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-312993,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313031,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313036,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313094,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313113,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313178,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313183,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313213,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313278,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313282,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313290,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313315,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313317,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313337,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313355,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313362,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313400,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313414,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313417,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313466,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313570,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313593,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313615,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313628,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313657,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313676,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313701,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313706,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313763,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313777,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313825,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313837,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313838,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313854,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313871,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313892,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313935,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313955,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313970,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313974,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-313987,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314032,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314060,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314087,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314157,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314160,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314162,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314179,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314249,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314259,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314261,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314328,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314338,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314368,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314383,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314426,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314427,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314461,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314462,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314523,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314532,Invoiced in Nov 2017
,,#N/A,,,,archdischild-2017-314550,Invoiced in Nov 2017
,,#N/A,,,,bcr-2016-218623,Invoiced in Nov 2017
,,#N/A,,,,bcr-2016-218766,Invoiced in Nov 2017
,,#N/A,,,,bcr-2016-218776,Invoiced in Nov 2017
,,#N/A,,,,bcr-2016-218785,Invoiced in Nov 2017
,,#N/A,,,,bcr-2016-218921,Invoiced in Nov 2017
,,#N/A,,,,bcr-2016-218982,Invoiced in Nov 2017
,,#N/A,,,,bcr-2016-219136,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-013364,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-219311,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-219420,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-219474,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-220023,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-220162,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-220187,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-220306,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-220456,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-220576,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-220656,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-220678corr1,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-220686,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-220687,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-220733,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-220744,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-220790,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-220815,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-220819,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-220872,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-220907,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-220952,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-220971,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-220975,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221002,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221012,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221025,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221028,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221062,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221065,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221089,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221221,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221227,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221330,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221346,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221365,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221375,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221381,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221388,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221422,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221506,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221539,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221545,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221557,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221574,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221578,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221580,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221614,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221622,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221638,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221642,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221644,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221653,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221659,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221665,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221697,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221702,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221729,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221760,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221774,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221784,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221790,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221808,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221832,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221845,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221851,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221868,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221873,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221885,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221926,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221939,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-221977,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-222002,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-222006,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-222011,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-222012,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-222019,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-222030,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-222059,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-222077,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-222082,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-222106,Invoiced in Nov 2017
,,#N/A,,,,bcr-2017-222123,Invoiced in Nov 2017
